SAT,TRANSIT START,TRANSIT END,TRANSIT TIME,,,,,,,,,,
s1,0:07.0,0:45.3,38.3,,,,,,,,,,
s2,0:10.8,0:36.7,25.9,,,,,,,,,,
s3,0:12.0,0:38.8,26.8,,,,,,,,,,
s4,0:40.0,1:08.0,28,,,,,,,,,,
s5,1:05.3,1:31.4,26.1,,,,,,,,,,
s6,1:16.9,1:52.2,35.3,,,,,,,,,,
s7,1:21.7,1:59.4,37.7,,,,,,,,,,
s8,1:24.4,2:00.4,36,,,,,,,,,,
s9,1:25.1,2:10.0,44.9,,,,,,,,,,
s10,1:57.8,2:22.5,24.7,,,,,,,,,,
s11,2:50.1,3:16.4,26.3,,,,,,,,,,
s12,3:04.8,3:43.0,38.2,,,,,,,,,,
s13,3:15.1,3:37.7,22.6,,,,,,,,,,
s14,3:23.1,3:55.2,32.1,,,,,,,,,,
s15,3:28.3,5:31.4,123.1,,,,,,,,,,
s16,3:57.9,4:24.4,26.5,,,,,,,,,,
s17,4:11.7,4:38.3,26.6,,,,,,,,,,
s18,4:23.3,4:57.5,34.2,,,,,,,,,,
s19,4:31.4,5:03.5,32.1,,,,,,,,,,
s20,4:37.2,4:51.6,14.4,,,,,,,,,,
s21,5:10.5,5:26.5,16,,,,,,,,,,
s22,5:39.0,6:11.3,32.3,,,,,,,,,,
s23,5:40.5,6:16.0,35.5,,,,,,,,,,
s24,5:49.3,6:38.5,49.2,,,,,,,,,,
s25,5:52.5,6:13.2,20.7,,,,,,,,,,
s26,6:33.8,7:03.3,29.5,,,,,,,,,,
s27,6:50.9,7:30.8,39.9,,,,,,,,,,
s28,6:57.1,8:00.6,63.5,,,,,,,,,,
s29,6:58.3,7:28.0,29.7,,,,,,,,,,
s30,6:58.9,7:33.3,34.4,,,,,,,,,,
s31,7:17.5,7:47.4,29.9,,,,,,,,,,
s32,7:23.7,8:05.1,41.4,,,,,,,,,,
s33,7:27.1,7:52.5,25.4,,,,,,,,,,
s34,7:34.0,7:49.4,15.4,,,,,,,,,,
s35,8:08.6,8:48.7,40.1,,,,,,,,,,
s36,8:19.3,8:37.8,18.5,,,,,,,,,,
s37,8:38.9,9:14.3,35.4,,,,,,,,,,
s38,9:27.2,9:59.0,31.8,,,,,,,,,,
s39,9:46.2,10:06.6,20.4,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
