SAT,TRANSIT START,TRANSIT END,TRANSIT TIME,,,,,,,,,
s1,0:09.5,0:13.6,4.1,,,,,,,,,
s2,0:13.5,0:46.2,32.7,,,,,,,,,
s3,0:21.9,0:34.0,12.1,,,,,,,,,
s4,0:44.0,1:09.5,25.5,,,,,,,,,
s5,0:48.1,1:29.4,41.3,,,,,,,,,
s6,1:29.6,1:45.6,16,,,,,,,,,
s7,1:34.9,2:08.7,33.8,,,,,,,,,
s8,2:22.2,2:49.5,27.3,,,,,,,,,
s9,2:26.0,3:07.2,41.2,,,,,,,,,
s10,2:37.7,3:36.9,59.2,,,,,,,,,
s11,3:56.4,4:27.5,31.1,,,,,,,,,
s12,3:59.2,4:25.5,26.3,,,,,,,,,
s13,3:59.9,4:41.8,41.9,,,,,,,,,
s14,4:02.4,4:37.0,34.6,,,,,,,,,
s15,4:14.0,4:32.1,18.1,,,,,,,,,
s16,5:15.1,5:44.3,29.2,,,,,,,,,
s17,5:23.3,6:02.8,39.5,,,,,,,,,
s18,5:25.5,5:58.8,33.3,,,,,,,,,
s19,5:41.4,6:20.5,39.1,,,,,,,,,
s20,5:50.8,6:31.5,40.7,,,,,,,,,
s21,5:55.8,6:31.4,35.6,,,,,,,,,
s22,6:37.4,6:59.7,22.3,,,,,,,,,
s23,7:08.6,7:48.1,39.5,,,,,,,,,
s24,7:28.5,7:57.9,29.4,,,,,,,,,
s25,7:32.4,8:13.4,41,,,,,,,,,
s26,7:53.2,9:00.0,66.8,,,,,,,,,
s27,7:53.9,8:59.5,65.6,,,,,,,,,
s28,8:17.5,8:36.9,19.4,,,,,,,,,
s29,8:33.0,9:07.5,34.5,,,,,,,,,
s30,8:34.8,9:06.9,32.1,,,,,,,,,
s31,8:49.8,9:14.4,24.6,,,,,,,,,
s32,9:11.6,9:34.6,23,,,,,,,,,
s33,9:15.7,9:43.6,27.9,,,,,,,,,
s34,9:32.3,10:03.9,31.6,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
